Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,0.9999999999239206,0.9999999998633751,104.11469959220358,8.265709577856322,8.26570674222299
clean,base,nan,0.8791912417215606,0.8448609583242742,19.596716538989327,11.728874781739943,11.921259205752927
clean,v1_s0p75,nan,0.8768364748617989,0.8344208296114627,19.68796561246457,7.666031542113857,6.5850376481646915
light,degraded,nan,0.8688622359474723,0.8097106906032281,27.41959267751368,16.235955661165267,17.766691692284887
light,base,nan,0.7933755305761909,0.7192851266883377,18.008581472847233,14.339189123016274,16.33878529033998
light,v1_s0p75,nan,0.791453520374945,0.7128581283608969,18.14317702333632,11.169762398141188,11.743895057752546
medium,degraded,nan,0.6841721892924457,0.5394009106859528,16.781007198972613,32.820715580150775,37.160067111051184
medium,base,nan,0.6672344604955969,0.5649060742958271,16.747815143357283,13.184781406170975,13.892319037787884
medium,v1_s0p75,nan,0.6668689708031736,0.5640825921652755,16.917147250450977,13.12452984979696,13.724992459858495
heavy,degraded,nan,0.5851370858084867,0.373538862930279,6.830688510410615,43.24124554459952,48.33074014695673
heavy,base,nan,0.593153244407254,0.4634291327262235,13.930176581631784,14.036494265652697,14.377273439226725
heavy,v1_s0p75,nan,0.593488299833878,0.4638060976961939,14.001652172575103,13.703806344124327,13.97641315360819
