sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,degraded,nan,0.9999999999996169,0.9999999999983893,107.5539667814183,6.188324928283691,6.188276767730713,0.04243467571949033,0.06998807862343093,79.95192377539267,-3.0690841674804688,-3.4344677925109863
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,base,nan,0.9575653242801265,0.9300119213749584,27.602043006025628,9.25740909576416,9.6227445602417,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,v1_s0p75,nan,0.9551855844239074,0.9245951826158959,27.544794687852598,5.333636283874512,4.994583606719971,-0.0023797398562190875,-0.005416738759062456,-0.057248318173030555,-3.9237728118896484,-4.6281609535217285
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,degraded,nan,0.9659704626359534,0.9156356546233257,22.416097391110696,14.318264961242676,16.293067932128906,0.10070890616224148,0.05420194429861913,1.3127840335310523,0.33660316467285156,-0.6281414031982422
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,base,nan,0.865261556473712,0.8614337103247066,21.103313357579644,13.981661796569824,16.92120933532715,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,v1_s0p75,nan,0.8622331110398862,0.8550726885997277,21.2314372232369,12.083118438720703,14.463480949401855,-0.003028445433825744,-0.006361021724978877,0.12812386565725475,-1.898543357849121,-2.457728385925293
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,degraded,nan,0.7937634240581849,0.6361358317962177,16.205542852417338,31.502277374267578,34.83583068847656,0.004481116602659596,-0.08403476574938817,-1.1169463174251746,17.335747718811035,18.930821418762207
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,base,nan,0.7892823074555253,0.7201705975456059,17.322489169842513,14.166529655456543,15.905009269714355,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,v1_s0p75,nan,0.7888473559663531,0.7189065463249027,17.408024145751035,14.403656959533691,16.469982147216797,-0.000434951489172164,-0.0012640512207031662,0.08553497590852288,0.23712730407714844,0.5649728775024414
adaptive_shard_00000.pt:3,adaptive_shard_00000.pt,3,heavy,1.0,8.907058715820312,2,3,degraded,nan,0.7540476902780698,0.5118311788835785,8.360219574137265,41.53184127807617,45.36570358276367,-0.012903488131549401,-0.10943509119249539,-6.627286506454341,26.189754486083984,28.712526321411133
