Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,0.9999999999239206,0.9999999998633751,104.11469959220358,8.265709577856322,8.26570674222299
clean,base,nan,0.8791912417215606,0.8448609583242742,19.596716538989327,11.728874781739943,11.921259205752927
clean,v1_s0p9,nan,0.8754479679199973,0.829284927202372,19.54264888944858,7.637665467722469,6.711999985282649
light,degraded,nan,0.8688622359474723,0.8097106906032281,27.41959267751368,16.235955661165267,17.766691692284887
light,base,nan,0.7933755305761909,0.7192851266883377,18.008581472847233,14.339189123016274,16.33878529033998
light,v1_s0p9,nan,0.7903591986982978,0.7096070596965357,18.08197549290947,11.033837290008952,11.750786766619179
medium,degraded,nan,0.6841721892924457,0.5394009106859528,16.781007198972613,32.820715580150775,37.160067111051184
medium,base,nan,0.6672344604955969,0.5649060742958271,16.747815143357283,13.184781406170975,13.892319037787884
medium,v1_s0p9,nan,0.6665371508347379,0.5632762720740443,16.91723203966066,13.12902905771405,13.726127544138622
heavy,degraded,nan,0.5851370858084867,0.373538862930279,6.830688510410615,43.24124554459952,48.33074014695673
heavy,base,nan,0.593153244407254,0.4634291327262235,13.930176581631784,14.036494265652697,14.377273439226725
heavy,v1_s0p9,nan,0.5935593029209594,0.46378934949198347,14.00685938718059,13.698693625031416,13.947059365597903
