Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,nan,nan,104.11469959220358,8.265709577856322,8.26570674222299
clean,base,nan,nan,nan,19.596716538989327,11.728874781739943,11.921259205752927
clean,v1,nan,nan,nan,19.3580090862799,7.6886952689291395,6.864232966464518
clean,v2,nan,nan,nan,19.506612970930178,7.460375392604425,6.560135793837153
light,degraded,nan,nan,nan,27.41959267751368,16.235955661165267,17.766691692284887
light,base,nan,nan,nan,18.008581472847233,14.339189123016274,16.33878529033998
light,v1,nan,nan,nan,17.985684359876863,11.000284160593273,11.815373710987522
light,v2,nan,nan,nan,18.034196817090386,12.52641383500784,15.30280889814452
medium,degraded,nan,nan,nan,16.781007198972613,32.820715580150775,37.160067111051184
medium,base,nan,nan,nan,16.747815143357283,13.184781406170975,13.892319037787884
medium,v1,nan,nan,nan,16.88871064492933,13.142067575433106,13.759931508804481
medium,v2,nan,nan,nan,16.79681797577423,13.123636069641321,13.946592354050685
heavy,degraded,nan,nan,nan,6.830688510410615,43.24124554459952,48.33074014695673
heavy,base,nan,nan,nan,13.930176581631784,14.036494265652697,14.377273439226725
heavy,v1,nan,nan,nan,14.00235857764574,13.710370415522062,13.940633334344364
heavy,v2,nan,nan,nan,13.964153070580796,13.74652485248996,14.011984180853169
