sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,degraded,nan,0.9999999999996169,0.9999999999983893,107.5539667814183,6.188324928283691,6.188266277313232,0.04243467571949033,0.06998807862343048,79.95192377539267,-3.0690841674804688,-3.496448040008545
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,base,nan,0.9575653242801265,0.9300119213749588,27.602043006025628,9.25740909576416,9.684714317321777,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:0,adaptive_shard_00000.pt,0,clean,0.0,0.0,0,0,v1_s0p75,nan,0.955173558335202,0.924570924501046,27.54643009078194,5.335080146789551,5.0344109535217285,-0.0023917659449245177,-0.005440996873912751,-0.05561291524368883,-3.9223289489746094,-4.650303363800049
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,degraded,nan,0.9659704626359534,0.9156356546233262,22.416097391110696,14.318264961242676,16.546297073364258,0.10070890616224148,0.054201944298620686,1.3127840335310523,0.33660316467285156,-0.9970836639404297
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,base,nan,0.865261556473712,0.8614337103247055,21.103313357579644,13.981661796569824,17.543380737304688,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:1,adaptive_shard_00000.pt,1,light,0.0,0.0,1,1,v1_s0p75,nan,0.8622332053897743,0.8550752257136055,21.23220376433267,12.082602500915527,15.027173042297363,-0.0030283510839376193,-0.0063584846111000015,0.1288904067530261,-1.8990592956542969,-2.516207695007324
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,degraded,nan,0.7937634240581849,0.6361358317962182,16.205542852417338,31.502277374267578,34.800540924072266,0.004481116602659596,-0.08403476574938784,-1.1169463174251746,17.335747718811035,18.640609741210938
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,base,nan,0.7892823074555253,0.7201705975456061,17.322489169842513,14.166529655456543,16.159931182861328,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00000.pt:2,adaptive_shard_00000.pt,2,medium,1.0,21.09600067138672,2,1,v1_s0p75,nan,0.7888468007141869,0.7188890621803944,17.40808093727368,14.406190872192383,16.754390716552734,-0.0004355067413384095,-0.0012815353652116945,0.08559176743116836,0.23966121673583984,0.5944595336914062
adaptive_shard_00000.pt:3,adaptive_shard_00000.pt,3,heavy,1.0,8.907058715820312,2,3,degraded,nan,0.7540476902780698,0.5118311788835798,8.360219574137265,41.53184127807617,45.32220458984375,-0.012903488131549401,-0.10943509119249473,-6.627286506454341,26.189754486083984,28.575489044189453
