Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,0.9999999999239206,0.9999999998633751,104.11469959220358,8.265709577856322,8.26570605568887
clean,base,nan,0.8791912417215606,0.8448609583242742,19.596716538989327,11.728874781739943,11.882278731142605
clean,v1_s0p75,nan,0.8768503749269211,0.8344630450671251,19.687243734001097,7.66721279684861,6.615695277597767
light,degraded,nan,0.8688622359474723,0.809710690603228,27.41959267751368,16.235955661165267,17.589740776507952
light,base,nan,0.7933755305761909,0.7192851266883377,18.008581472847233,14.339189123016274,16.001839401390306
light,v1_s0p75,nan,0.7914662159939875,0.7128905540950244,18.141419528526725,11.173996084029177,11.51131996051942
medium,degraded,nan,0.6841721892924457,0.5394009106859529,16.781007198972613,32.820715580150775,36.794902694349545
medium,base,nan,0.6672344604955969,0.5649060742958271,16.747815143357283,13.184781406170975,13.939766215154581
medium,v1_s0p75,nan,0.6668687540733873,0.5640808327526727,16.91695208724029,13.12531492361182,13.827693820053709
heavy,degraded,nan,0.5851370858084867,0.373538862930279,6.830688510410615,43.24124554459952,47.90581964571442
heavy,base,nan,0.593153244407254,0.46342913272622344,13.930176581631784,14.036494265652697,14.456629418657007
heavy,v1_s0p75,nan,0.5934882978999494,0.46380572942800774,14.001642845094574,13.703906262358444,14.089582447126325
