Severity,Method,PESQ,STOI,ESTOI,SI-SDR,LSD,HF-LSD
clean,degraded,nan,nan,nan,104.16351505812027,8.394183402749855,8.394138588032252
clean,base,nan,nan,nan,20.34632764821097,11.360482189017283,11.652800304788938
clean,v1,nan,nan,nan,20.013124913318038,7.434972064595827,6.64722482923051
clean,v2,nan,nan,nan,19.760235667223686,7.885780059115987,7.55742970990463
light,degraded,nan,nan,nan,27.26671675918859,16.328462694732234,17.879796484826315
light,base,nan,nan,nan,18.750812329415282,14.037018144634407,16.019857070815394
light,v1,nan,nan,nan,18.664731654637325,10.809684928034393,11.66656727186391
light,v2,nan,nan,nan,18.446825733929376,12.221783772320814,15.002856402329996
medium,degraded,nan,nan,nan,16.96641081162543,32.8020109257228,37.125678102735066
medium,base,nan,nan,nan,16.787225046788233,12.984929339986452,13.663183454056862
medium,v1,nan,nan,nan,16.94219474547119,13.029331086387097,13.661706414021237
medium,v2,nan,nan,nan,16.641045455271513,12.815875550390968,13.75277548776546
heavy,degraded,nan,nan,nan,6.90785440735436,43.21771079049984,48.29112904508349
heavy,base,nan,nan,nan,14.12953349429458,13.84402938627861,14.172562733502454
heavy,v1,nan,nan,nan,14.198035696879845,13.528700344999072,13.773160585215393
heavy,v2,nan,nan,nan,14.029641846494648,13.53099219899782,13.743926840768733
