sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00000.pt:36,adaptive_shard_00000.pt,36,clean,0.0,0.0,0,0,degraded,nan,nan,nan,107.5539667814183,6.188324928283691,6.188266277313232,nan,nan,79.95192377539267,-3.0690841674804688,-3.496448040008545
adaptive_shard_00000.pt:36,adaptive_shard_00000.pt,36,clean,0.0,0.0,0,0,base,nan,nan,nan,27.602043006025628,9.25740909576416,9.684714317321777,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:36,adaptive_shard_00000.pt,36,clean,0.0,0.0,0,0,v1,nan,nan,nan,26.383175555899868,5.587887763977051,5.53830099105835,nan,nan,-1.2188674501257601,-3.6695213317871094,-4.146413326263428
adaptive_shard_00000.pt:36,adaptive_shard_00000.pt,36,clean,0.0,0.0,0,0,v2,nan,nan,nan,26.330257485302432,5.930377006530762,4.847545623779297,nan,nan,-1.2717855207231956,-3.3270320892333984,-4.8371686935424805
adaptive_shard_00000.pt:37,adaptive_shard_00000.pt,37,light,0.0,0.0,1,1,degraded,nan,nan,nan,22.416097391110696,14.318264961242676,16.546297073364258,nan,nan,1.3127840335310523,0.33660316467285156,-0.9970836639404297
adaptive_shard_00000.pt:37,adaptive_shard_00000.pt,37,light,0.0,0.0,1,1,base,nan,nan,nan,21.103313357579644,13.981661796569824,17.543380737304688,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:37,adaptive_shard_00000.pt,37,light,0.0,0.0,1,1,v1,nan,nan,nan,21.064844340557983,12.215357780456543,15.475428581237793,nan,nan,-0.0384690170216615,-1.7663040161132812,-2.0679521560668945
adaptive_shard_00000.pt:37,adaptive_shard_00000.pt,37,light,0.0,0.0,1,1,v2,nan,nan,nan,21.13623994329943,13.325117111206055,17.0307559967041,nan,nan,0.03292658571978535,-0.6565446853637695,-0.5126247406005859
adaptive_shard_00000.pt:38,adaptive_shard_00000.pt,38,medium,1.0,21.09600067138672,2,1,degraded,nan,nan,nan,16.205542852417338,31.502277374267578,34.800540924072266,nan,nan,-1.1169463174251746,17.335747718811035,18.640609741210938
adaptive_shard_00000.pt:38,adaptive_shard_00000.pt,38,medium,1.0,21.09600067138672,2,1,base,nan,nan,nan,17.322489169842513,14.166529655456543,16.159931182861328,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:38,adaptive_shard_00000.pt,38,medium,1.0,21.09600067138672,2,1,v1,nan,nan,nan,17.373732844674812,14.685937881469727,17.18282127380371,nan,nan,0.051243674832299746,0.5194082260131836,1.0228900909423828
adaptive_shard_00000.pt:38,adaptive_shard_00000.pt,38,medium,1.0,21.09600067138672,2,1,v2,nan,nan,nan,17.236491188399178,14.283066749572754,16.44200325012207,nan,nan,-0.08599798144333448,0.11653709411621094,0.2820720672607422
adaptive_shard_00000.pt:39,adaptive_shard_00000.pt,39,heavy,1.0,8.907058715820312,2,3,degraded,nan,nan,nan,8.360219574137265,41.53184127807617,45.32220458984375,nan,nan,-6.627286506454341,26.189754486083984,28.575489044189453
adaptive_shard_00000.pt:39,adaptive_shard_00000.pt,39,heavy,1.0,8.907058715820312,2,3,base,nan,nan,nan,14.987506080591606,15.342086791992188,16.746715545654297,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:39,adaptive_shard_00000.pt,39,heavy,1.0,8.907058715820312,2,3,v1,nan,nan,nan,15.04220369293055,15.16348934173584,16.951444625854492,nan,nan,0.0546976123389431,-0.17859745025634766,0.2047290802001953
adaptive_shard_00000.pt:39,adaptive_shard_00000.pt,39,heavy,1.0,8.907058715820312,2,3,v2,nan,nan,nan,14.966331101266805,15.205018997192383,16.701147079467773,nan,nan,-0.021174979324801058,-0.1370677947998047,-0.04556846618652344
adaptive_shard_00000.pt:44,adaptive_shard_00000.pt,44,clean,0.0,0.0,0,0,degraded,nan,nan,nan,102.66632695542575,4.646698951721191,4.646757125854492,nan,nan,74.90875864706034,-5.578647613525391,-6.158243179321289
adaptive_shard_00000.pt:44,adaptive_shard_00000.pt,44,clean,0.0,0.0,0,0,base,nan,nan,nan,27.757568308365407,10.225346565246582,10.805000305175781,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:44,adaptive_shard_00000.pt,44,clean,0.0,0.0,0,0,v1,nan,nan,nan,25.972064834862977,6.286195755004883,5.387353897094727,nan,nan,-1.7855034735024304,-3.939150810241699,-5.417646408081055
adaptive_shard_00000.pt:44,adaptive_shard_00000.pt,44,clean,0.0,0.0,0,0,v2,nan,nan,nan,26.370702160858237,6.610052108764648,6.496201038360596,nan,nan,-1.3868661475071704,-3.6152944564819336,-4.3087992668151855
adaptive_shard_00000.pt:45,adaptive_shard_00000.pt,45,light,0.0,0.0,1,2,degraded,nan,nan,nan,28.11607949058335,13.686803817749023,16.085872650146484,nan,nan,3.2258490979931516,-0.22263145446777344,0.5641841888427734
adaptive_shard_00000.pt:45,adaptive_shard_00000.pt,45,light,0.0,0.0,1,2,base,nan,nan,nan,24.890230392590198,13.909435272216797,15.521688461303711,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:45,adaptive_shard_00000.pt,45,light,0.0,0.0,1,2,v1,nan,nan,nan,24.265393118301937,11.0514554977417,11.79139232635498,nan,nan,-0.6248372742882609,-2.8579797744750977,-3.7302961349487305
adaptive_shard_00000.pt:45,adaptive_shard_00000.pt,45,light,0.0,0.0,1,2,v2,nan,nan,nan,24.375196515170174,11.485262870788574,14.463763236999512,nan,nan,-0.5150338774200236,-2.4241724014282227,-1.0579252243041992
adaptive_shard_00000.pt:46,adaptive_shard_00000.pt,46,medium,1.0,24.849552154541016,2,2,degraded,nan,nan,nan,19.306895390587396,25.99667739868164,30.59491539001465,nan,nan,-0.4942708042895312,12.260235786437988,14.855927467346191
adaptive_shard_00000.pt:46,adaptive_shard_00000.pt,46,medium,1.0,24.849552154541016,2,2,base,nan,nan,nan,19.801166194876927,13.736441612243652,15.738987922668457,nan,nan,0.0,0.0,0.0
adaptive_shard_00000.pt:46,adaptive_shard_00000.pt,46,medium,1.0,24.849552154541016,2,2,v1,nan,nan,nan,19.841558700821896,14.389097213745117,15.94435977935791,nan,nan,0.04039250594496835,0.6526556015014648,0.20537185668945312
